rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.03,0.27,93.45
2,2,Liverpool,Barclays Premier League,2.9,0.24,93.26
3,3,Bayern Munich,German Bundesliga,3.41,0.59,91.63
4,4,Chelsea,Barclays Premier League,2.45,0.33,88.35
5,5,Paris Saint-Germain,French Ligue 1,2.79,0.65,85.82
6,6,Real Madrid,Spanish Primera Division,2.73,0.64,85.5
7,7,Ajax,Dutch Eredivisie,3.05,0.88,84.56
8,8,Barcelona,Spanish Primera Division,2.37,0.5,84.32
9,9,Tottenham Hotspur,Barclays Premier League,2.45,0.56,84.1
10,10,Internazionale,Italy Serie A,2.53,0.71,82.1
11,11,RB Leipzig,German Bundesliga,2.45,0.67,81.83
12,12,FC Porto,Portuguese Liga,2.33,0.6,81.6
13,13,FC Salzburg,Austrian T-Mobile Bundesliga,2.46,0.69,81.54
14,14,Borussia Dortmund,German Bundesliga,2.6,0.8,81.09
15,15,Atletico Madrid,Spanish Primera Division,2.01,0.47,80.37
16,16,Arsenal,Barclays Premier League,2.2,0.59,80.18
17,17,Villarreal,Spanish Primera Division,2.25,0.63,80.05
18,18,Brighton and Hove Albion,Barclays Premier League,2.08,0.52,80.03
19,19,AC Milan,Italy Serie A,2.11,0.54,80.03
20,20,Sporting CP,Portuguese Liga,2.17,0.59,79.84
21,21,Bayer Leverkusen,German Bundesliga,2.34,0.8,77.76
22,22,Napoli,Italy Serie A,2.18,0.73,76.96
23,23,Real Sociedad,Spanish Primera Division,1.91,0.55,76.87
24,24,Atalanta,Italy Serie A,2.28,0.81,76.54
25,25,Crystal Palace,Barclays Premier League,1.88,0.55,76.48
26,26,Aston Villa,Barclays Premier League,2.02,0.65,76.22
27,27,Athletic Bilbao,Spanish Primera Division,1.88,0.56,76.17
28,28,AS Roma,Italy Serie A,1.93,0.6,75.94
29,29,Benfica,Portuguese Liga,2.16,0.79,75.32
30,30,Feyenoord,Dutch Eredivisie,2.35,0.93,75.13
31,31,1. FC Union Berlin,German Bundesliga,2.0,0.69,74.94
32,32,Manchester United,Barclays Premier League,2.07,0.75,74.67
33,33,Celta Vigo,Spanish Primera Division,1.85,0.63,74.06
34,34,Real Betis,Spanish Primera Division,1.88,0.68,73.36
35,35,Lazio,Italy Serie A,2.22,0.92,73.27
36,36,Sevilla FC,Spanish Primera Division,1.74,0.58,73.15
37,37,West Ham United,Barclays Premier League,1.98,0.76,73.02
38,38,AS Monaco,French Ligue 1,2.08,0.84,72.95
39,39,Mainz,German Bundesliga,2.06,0.84,72.55
40,40,Celtic,Scottish Premiership,2.2,0.95,72.43
41,41,Brentford,Barclays Premier League,1.99,0.79,72.4
42,42,Fiorentina,Italy Serie A,1.95,0.77,72.18
43,43,Lyon,French Ligue 1,2.24,0.99,72.04
44,44,Stade Rennes,French Ligue 1,2.04,0.86,71.73
45,45,Newcastle,Barclays Premier League,1.84,0.71,71.71
46,46,Borussia Monchengladbach,German Bundesliga,2.3,1.07,71.33
47,47,Leicester City,Barclays Premier League,1.98,0.83,71.31
48,48,Strasbourg,French Ligue 1,1.84,0.75,70.84
49,49,PSV,Dutch Eredivisie,2.36,1.14,70.81
50,50,Zenit St Petersburg,Russian Premier Liga,1.99,0.87,70.6
51,51,FC Cologne,German Bundesliga,2.04,0.91,70.45
52,52,SC Freiburg,German Bundesliga,2.14,1.0,70.26
53,53,Rangers,Scottish Premiership,2.03,0.91,70.25
54,54,Marseille,French Ligue 1,1.8,0.75,70.22
55,55,Wolverhampton,Barclays Premier League,1.78,0.76,69.58
56,56,Lille,French Ligue 1,1.71,0.7,69.53
57,57,VfL Wolfsburg,German Bundesliga,1.96,0.91,69.11
58,58,Valencia,Spanish Primera Division,1.7,0.72,68.99
59,59,Getafe,Spanish Primera Division,1.5,0.58,68.74
60,60,Eintracht Frankfurt,German Bundesliga,1.88,0.87,68.66
61,61,Juventus,Italy Serie A,1.89,0.88,68.42
62,62,Torino,Italy Serie A,1.72,0.77,67.89
63,63,TSG Hoffenheim,German Bundesliga,2.17,1.14,67.7
64,64,Rayo Vallecano,Spanish Primera Division,1.71,0.79,67.4
65,65,Lens,French Ligue 1,1.76,0.85,66.76
66,66,Osasuna,Spanish Primera Division,1.65,0.78,66.57
67,67,Cadiz,Spanish Primera Division,1.71,0.84,66.06
68,68,Verona,Italy Serie A,1.88,0.98,66.06
69,69,Club Brugge,Belgian Jupiler League,1.96,1.04,66.04
70,70,VfB Stuttgart,German Bundesliga,1.94,1.03,65.96
71,71,FC Twente,Dutch Eredivisie,1.82,0.95,65.59
72,73,Dinamo Zagreb,UEFA Europa League,1.83,0.98,64.93
73,74,Slavia Prague,UEFA Europa Conference League,1.9,1.07,64.29
74,75,Levante,Spanish Primera Division,1.99,1.16,64.13
75,76,Fulham,English League Championship,1.81,1.0,64.11
76,72,Palmeiras,Brasileiro Série A,1.71,0.93,63.89
77,78,Burnley,Barclays Premier League,1.7,0.93,63.73
78,79,Shakhtar Donetsk,UEFA Champions League,1.96,1.14,63.71
79,80,Everton,Barclays Premier League,1.77,0.99,63.69
80,81,AZ,Dutch Eredivisie,1.94,1.14,63.31
81,82,Nice,French Ligue 1,1.62,0.88,63.17
82,83,Leeds United,Barclays Premier League,1.84,1.07,63.04
83,87,Flamengo,Brasileiro Série A,1.65,0.92,62.95
84,84,VfL Bochum,German Bundesliga,1.8,1.05,62.65
85,77,Monterrey,Mexican Primera Division Torneo Apertura,1.77,1.03,62.55
86,85,Braga,Portuguese Liga,1.55,0.87,62.17
87,86,Tigres UANL,Mexican Primera Division Torneo Apertura,1.8,1.08,61.95
88,88,Southampton,Barclays Premier League,1.82,1.1,61.93
89,89,Fenerbahce,Turkish Turkcell Super Lig,1.8,1.09,61.72
90,90,FC Augsburg,German Bundesliga,1.79,1.09,61.45
91,91,Elche,Spanish Primera Division,1.62,0.95,61.39
92,92,KAA Gent,Belgian Jupiler League,1.55,0.89,61.35
93,93,River Plate,Argentina Primera Division,1.61,0.95,61.26
94,94,Sassuolo,Italy Serie A,2.05,1.35,61.05
95,95,Udinese,Italy Serie A,1.81,1.14,60.94
96,97,Olympiacos,Greek Super League,1.61,0.99,60.36
97,98,Anderlecht,Belgian Jupiler League,1.75,1.11,60.35
98,100,Espanyol,Spanish Primera Division,1.57,0.97,60.08
99,101,Nantes,French Ligue 1,1.65,1.04,59.95
100,99,Club América,Mexican Primera Division Torneo Apertura,1.59,0.99,59.94
101,96,Atletico Mineiro,Brasileiro Série A,1.59,0.99,59.92
102,102,Genk,Belgian Jupiler League,1.82,1.2,59.81
103,103,FC Copenhagen,Danish SAS-Ligaen,1.63,1.05,59.26
104,104,FC Utrecht,Dutch Eredivisie,1.86,1.26,59.12
105,105,Hertha Berlin,German Bundesliga,1.65,1.08,59.12
106,106,Sochi,Russian Premier Liga,1.61,1.04,59.0
107,107,AFC Bournemouth,English League Championship,1.56,1.0,58.93
108,108,Dynamo Kiev,UEFA Champions League,1.66,1.09,58.89
109,109,Mallorca,Spanish Primera Division,1.62,1.06,58.85
110,110,Bologna,Italy Serie A,1.66,1.1,58.64
111,111,Guimaraes,Portuguese Liga,1.54,1.01,58.1
112,112,FC Midtjylland,Danish SAS-Ligaen,1.8,1.26,57.91
113,113,Granada,Spanish Primera Division,1.65,1.14,57.66
114,117,São Paulo,Brasileiro Série A,1.4,0.92,57.32
115,114,Reims,French Ligue 1,1.43,0.95,57.12
116,115,Young Boys,Swiss Raiffeisen Super League,2.02,1.51,56.91
117,116,Union Saint Gilloise,Belgian Jupiler League,1.51,1.04,56.71
118,118,Nottingham Forest,English League Championship,1.45,0.99,56.51
119,119,Red Star Belgrade,UEFA Europa League,1.69,1.22,56.42
120,133,Yokohama F. Marinos,Japanese J League,1.84,1.37,56.35
121,139,Fluminense,Brasileiro Série A,1.36,0.92,56.23
122,120,Pachuca,Mexican Primera Division Torneo Apertura,1.59,1.14,56.08
123,121,Boca Juniors,Argentina Primera Division,1.39,0.96,55.99
124,127,Cruz Azul,Mexican Primera Division Torneo Apertura,1.51,1.08,55.74
125,131,Internacional,Brasileiro Série A,1.51,1.09,55.73
126,122,Alavés,Spanish Primera Division,1.54,1.12,55.62
127,123,Sampdoria,Italy Serie A,1.59,1.17,55.47
128,124,Trabzonspor,Turkish Turkcell Super Lig,1.61,1.19,55.41
129,125,Sheffield United,English League Championship,1.46,1.05,55.32
130,126,Watford,Barclays Premier League,1.59,1.18,55.31
131,128,Sparta Prague,UEFA Europa League,1.61,1.2,55.28
132,129,Angers,French Ligue 1,1.42,1.02,55.25
133,130,Vitesse,Dutch Eredivisie,1.62,1.22,54.99
134,132,Toulouse,French Ligue 2,1.65,1.28,54.41
135,134,CSKA Moscow,Russian Premier Liga,1.4,1.04,54.36
136,136,Ferencvaros,UEFA Europa League,1.62,1.25,54.15
137,135,Bodo/Glimt,Norwegian Tippeligaen,1.77,1.42,53.77
138,137,Troyes,French Ligue 1,1.39,1.05,53.7
139,138,Famalicao,Portuguese Liga,1.5,1.16,53.68
140,141,Gil Vicente,Portuguese Liga,1.46,1.13,53.53
141,142,FC Krasnodar,Russian Premier Liga,1.39,1.06,53.5
142,140,New York City FC,Major League Soccer,1.69,1.35,53.47
143,144,Genoa,Italy Serie A,1.41,1.09,53.37
144,152,Santos Laguna,Mexican Primera Division Torneo Apertura,1.58,1.28,52.81
145,147,Brest,French Ligue 1,1.54,1.24,52.81
146,143,Santos,Brasileiro Série A,1.32,1.04,52.4
147,149,Spartak Moscow,Russian Premier Liga,1.47,1.2,52.14
148,150,Clermont Foot,French Ligue 1,1.44,1.16,52.09
149,151,Lorient,French Ligue 1,1.39,1.13,51.88
150,153,Basel,Swiss Raiffeisen Super League,1.62,1.35,51.8
151,154,Cagliari,Italy Serie A,1.52,1.26,51.71
152,156,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.37,1.13,51.53
153,148,Los Angeles FC,Major League Soccer,1.66,1.41,51.46
154,158,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.7,1.46,51.28
155,157,Guadalajara,Mexican Primera Division Torneo Apertura,1.37,1.14,51.2
156,155,Bragantino,Brasileiro Série A,1.37,1.14,51.09
157,159,SpVgg Greuther Fürth,German Bundesliga,1.42,1.2,51.04
158,160,FC Zurich,Swiss Raiffeisen Super League,1.74,1.52,50.72
159,161,Coventry City,English League Championship,1.5,1.29,50.59
160,145,Corinthians,Brasileiro Série A,1.17,0.96,50.56
161,164,Atlas,Mexican Primera Division Torneo Apertura,1.35,1.15,50.53
162,162,West Bromwich Albion,English League Championship,1.25,1.05,50.42
163,163,FK Partizan Belgrade,UEFA Europa Conference League,1.42,1.22,50.35
164,146,Molde,Norwegian Tippeligaen,1.66,1.47,50.31
165,165,Maccabi Tel-Aviv,UEFA Europa Conference League,1.3,1.11,50.21
166,166,Empoli,Italy Serie A,1.63,1.45,50.16
167,177,Atlético Paranaense,Brasileiro Série A,1.31,1.12,50.16
168,167,PAOK Salonika,Greek Super League,1.25,1.06,50.15
169,168,Panathinaikos,Greek Super League,1.14,0.95,49.89
170,169,Legia Warsaw,UEFA Europa League,1.43,1.26,49.78
171,200,Philadelphia Union,Major League Soccer,1.46,1.29,49.76
172,171,Montpellier,French Ligue 1,1.44,1.27,49.58
173,172,Santa Clara,Portuguese Liga,1.29,1.13,49.53
174,173,Rapid Vienna,Austrian T-Mobile Bundesliga,1.46,1.29,49.51
175,174,Arminia Bielefeld,German Bundesliga,1.45,1.3,49.41
176,175,Defensa y Justicia,Argentina Primera Division,1.34,1.19,49.27
177,186,Kawasaki Frontale,Japanese J League,1.5,1.36,49.16
178,170,Ceará,Brasileiro Série A,1.16,1.02,48.83
179,176,Kasimpasa,Turkish Turkcell Super Lig,1.78,1.66,48.76
180,178,Spezia,Italy Serie A,1.51,1.39,48.7
181,179,Schalke 04,German 2. Bundesliga,1.66,1.54,48.61
182,194,León,Mexican Primera Division Torneo Apertura,1.44,1.32,48.53
183,180,Hamburg SV,German 2. Bundesliga,1.59,1.48,48.37
184,181,Dinamo Moscow,Russian Premier Liga,1.48,1.38,48.07
185,182,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.39,1.3,47.96
186,183,St Etienne,French Ligue 1,1.4,1.3,47.88
187,184,Werder Bremen,German 2. Bundesliga,1.59,1.51,47.72
188,185,FC Sheriff Tiraspol,UEFA Europa League,1.49,1.41,47.71
189,187,Besiktas,Turkish Turkcell Super Lig,1.44,1.37,47.64
190,188,St Gallen,Swiss Raiffeisen Super League,1.75,1.69,47.57
191,189,LASK Linz,Austrian T-Mobile Bundesliga,1.49,1.42,47.54
192,190,Lokomotiv Moscow,Russian Premier Liga,1.34,1.27,47.28
193,191,Fortaleza,Brasileiro Série A,1.19,1.12,47.19
194,192,Heerenveen,Dutch Eredivisie,1.47,1.41,47.1
195,193,Salernitana,Italy Serie A,1.48,1.42,47.09
196,195,Norwich City,Barclays Premier League,1.47,1.42,47.05
197,196,Antwerp,Belgian Jupiler League,1.28,1.23,46.87
198,197,Sporting de Charleroi,Belgian Jupiler League,1.52,1.48,46.79
199,198,Middlesbrough,English League Championship,1.23,1.18,46.74
200,199,Velez Sarsfield,Argentina Primera Division,1.15,1.09,46.64
201,201,Silkeborg,Danish SAS-Ligaen,1.48,1.47,46.4
202,202,Bordeaux,French Ligue 1,1.5,1.48,46.25
203,203,Monza,Italy Serie B,1.37,1.36,46.02
204,204,Preston North End,English League Championship,1.26,1.25,45.95
205,205,St. Truidense,Belgian Jupiler League,1.24,1.23,45.9
206,206,Anorthosis Famagusta,UEFA Europa Conference League,1.27,1.26,45.86
207,207,Galatasaray,Turkish Turkcell Super Lig,1.36,1.36,45.85
208,209,Antalyaspor,Turkish Turkcell Super Lig,1.37,1.38,45.77
209,210,Alanyaspor,Turkish Turkcell Super Lig,1.56,1.58,45.73
210,211,FK Qarabag,UEFA Europa Conference League,1.4,1.4,45.72
211,208,Rosenborg,Norwegian Tippeligaen,1.53,1.55,45.69
212,212,Krylia Sovetov,Russian Premier Liga,1.27,1.27,45.69
213,214,Boavista,Portuguese Liga,1.23,1.22,45.62
214,215,Stoke City,English League Championship,1.16,1.15,45.6
215,226,Puebla,Mexican Primera Division Torneo Apertura,1.34,1.35,45.52
216,216,AEK Athens,Greek Super League,1.34,1.35,45.47
217,217,SV Darmstadt 98,German 2. Bundesliga,1.56,1.59,45.39
218,224,Kashima Antlers,Japanese J League,1.48,1.51,45.36
219,219,Millwall,English League Championship,1.24,1.25,45.27
220,220,América Mineiro,Brasileiro Série A,1.15,1.16,45.12
221,221,NEC,Dutch Eredivisie,1.42,1.46,45.12
222,222,Konyaspor,Turkish Turkcell Super Lig,1.47,1.52,45.09
223,223,Terek Grozny,Russian Premier Liga,1.14,1.15,45.08
224,213,Atlético Goianiense,Brasileiro Série A,1.2,1.22,44.99
225,227,New York Red Bulls,Major League Soccer,1.29,1.32,44.91
226,249,Los Angeles Galaxy,Major League Soccer,1.5,1.56,44.74
227,225,Portimonense,Portuguese Liga,1.16,1.18,44.74
228,228,Luton Town,English League Championship,1.17,1.2,44.59
229,229,Vizela,Portuguese Liga,1.3,1.35,44.58
230,231,Maritimo,Portuguese Liga,1.18,1.22,44.54
231,232,Rostov,Russian Premier Liga,1.39,1.46,44.31
232,233,CSKA Sofia,UEFA Europa Conference League,1.12,1.17,44.21
233,234,Moreirense,Portuguese Liga,1.15,1.2,44.16
234,218,Urawa Red Diamonds,Japanese J League,1.16,1.21,44.14
235,235,Huddersfield Town,English League Championship,1.13,1.18,44.13
236,236,FC Groningen,Dutch Eredivisie,1.38,1.46,44.09
237,237,Cercle Brugge,Belgian Jupiler League,1.35,1.43,44.05
238,238,Aris Salonika,Greek Super League,1.02,1.07,44.01
239,239,Blackburn,English League Championship,1.11,1.18,43.69
240,240,Estudiantes,Argentina Primera Division,1.25,1.34,43.62
241,241,Heracles,Dutch Eredivisie,1.31,1.41,43.57
242,242,Blackpool,English League Championship,1.23,1.33,43.45
243,230,New England Revolution,Major League Soccer,1.45,1.57,43.34
244,256,Lillestrom,Norwegian Tippeligaen,1.41,1.53,43.33
245,243,CFR 1907 Cluj,UEFA Europa Conference League,1.26,1.37,43.25
246,245,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.46,1.61,42.97
247,246,Argentinos Juniors,Argentina Primera Division,1.07,1.16,42.97
248,247,FC Arouca,Portuguese Liga,1.13,1.23,42.95
249,248,Almeria,Spanish Segunda Division,1.19,1.3,42.93
250,254,Atlanta United FC,Major League Soccer,1.42,1.56,42.9
251,251,Estoril Praia,Portuguese Liga,1.16,1.27,42.76
252,252,Brondby,Danish SAS-Ligaen,1.24,1.36,42.67
253,253,Guangzhou Evergrande,Chinese Super League,1.43,1.59,42.61
254,255,Omonia Nicosia,UEFA Europa Conference League,1.32,1.47,42.46
255,261,Seattle Sounders FC,Major League Soccer,1.32,1.47,42.46
256,257,Hearts,Scottish Premiership,1.28,1.44,42.27
257,258,PEC Zwolle,Dutch Eredivisie,1.31,1.47,42.13
258,260,Adana Demirspor,Turkish Turkcell Super Lig,1.3,1.47,42.0
259,273,Botafogo,Brasileiro Série A,1.14,1.28,41.96
260,262,Pacos Ferreira,Portuguese Liga,1.08,1.22,41.95
261,263,Sivasspor,Turkish Turkcell Super Lig,1.3,1.47,41.94
262,264,F.B.C Unione Venezia,Italy Serie A,1.41,1.6,41.89
263,270,Djurgardens IF,Swedish Allsvenskan,1.31,1.49,41.85
264,265,Columbus Crew,Major League Soccer,1.26,1.43,41.76
265,250,Nashville SC,Major League Soccer,1.22,1.39,41.76
266,266,Ludogorets,UEFA Europa League,1.29,1.46,41.74
267,267,Talleres de Córdoba,Argentina Primera Division,1.15,1.3,41.74
268,268,Real Valladolid,Spanish Segunda Division,1.24,1.41,41.72
269,276,Pumas Unam,Mexican Primera Division Torneo Apertura,1.17,1.33,41.66
270,269,Coritiba,Brasileiro Série A,1.21,1.38,41.62
271,271,Union Santa Fe,Argentina Primera Division,1.04,1.19,41.6
272,272,Cardiff City,English League Championship,1.06,1.21,41.5
273,297,Cerezo Osaka,Japanese J League,1.26,1.45,41.47
274,274,Girona FC,Spanish Segunda Division,1.04,1.2,41.38
275,275,Lanus,Argentina Primera Division,1.36,1.57,41.35
276,277,Metz,French Ligue 1,1.15,1.33,41.2
277,244,FC Dallas,Major League Soccer,1.34,1.55,41.12
